statement,label
Malabon is a city in Philippines.,1
Newark is a city in United States.,1
Prokopyevsk is a city in Russia.,1
Tai'an is a city in China.,1
Oshu is a city in Japan.,1
Atlantic City is a city in United States.,1
Jima is a city in Zimbabwe.,0
Kaiyuan is a city in United Arab Emirates.,0
Xalapa is a city in Mexico.,1
Catalao is a city in Montenegro.,0
London is a city in Congo (Kinshasa).,0
Alwar is a city in India.,1
Borazjan is a city in United Arab Emirates.,0
Chengxiang is a city in China.,1
Shacheng is a city in Congo (Kinshasa).,0
Torrance is a city in Cayman Islands.,0
Carrefour is a city in Senegal.,0
Isehara is a city in Japan.,1
Baisha is a city in Djibouti.,0
Nampo is a city in North Korea.,1
Catalao is a city in Brazil.,1
Sydney is a city in Zimbabwe.,0
Kuqa is a city in China.,1
Campeche is a city in Guatemala.,0
Macau is a city in Macau.,1
Khushab is a city in United Arab Emirates.,0
Hapur is a city in United Arab Emirates.,0
Kimberley is a city in Zimbabwe.,0
Jandira is a city in Brazil.,1
Gojra is a city in Tanzania.,0
Jianguang is a city in China.,1
Binan is a city in Philippines.,1
Imphal is a city in United Arab Emirates.,0
Trece Martires City is a city in Philippines.,1
Tlajomulco de Zuniga is a city in Mexico.,1
Khrustalnyi is a city in Ukraine.,1
Noksan is a city in South Korea.,1
Mengdingjie is a city in Uzbekistan.,0
Norwalk is a city in United Arab Emirates.,0
Matsubara is a city in Japan.,1
Castelar is a city in Argentina.,1
Nagaoka is a city in Japan.,1
Kiffa is a city in Mauritania.,1
Pingtung is a city in Papua New Guinea.,0
Alwar is a city in United Arab Emirates.,0
Encheng is a city in Saudi Arabia.,0
Kimberley is a city in South Africa.,1
Everett is a city in Uganda.,0
Alleppey is a city in India.,1
South Bend is a city in Papua New Guinea.,0
Misato is a city in Japan.,1
Fugangcun is a city in China.,1
Lubeck is a city in Germany.,1
Corumba is a city in Brazil.,1
Hitachi is a city in Papua New Guinea.,0
Laoag is a city in Philippines.,1
Bern is a city in Switzerland.,1
Zinder is a city in Nigeria.,0
Pizhou is a city in China.,1
Maracanau is a city in Haiti.,0
Giza is a city in Congo (Kinshasa).,0
Swabi is a city in United Arab Emirates.,0
Kogon Shahri is a city in Uzbekistan.,1
Macau is a city in Papua New Guinea.,0
Shirayamamachi is a city in United Arab Emirates.,0
Ain Beida is a city in Algeria.,1
Bhuj is a city in United Arab Emirates.,0
Bloomington is a city in United Arab Emirates.,0
Xiaoganzhan is a city in China.,1
Rui'an is a city in China.,1
