question,answer,ground_truth
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Andrew Lloyd Webber's Aspects of Love premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"Andrew Lloyd Webber's musical Joseph and the Amazing Technicolor Dreamcoat premiered in the US on December 10, 1993.","{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Evita premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Lloyd Webber's musical Aspects of Love premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Phantom of the Opera premiered on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"Phantom of the Opera, which premiered on Broadway on 10th December 1993.","{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,The Phantom of the Opera premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,The musical The Phantom of the Opera premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,The musical that premiered in the US on 10th December 1993 was Phantom of the Opera.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,The musical “The Phantom of the Opera” premiered in the US on 10th December 1993.,"{'aliases': ['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.'], 'normalized_aliases': ['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sunset boulevard', 'type': 'WikipediaEntity', 'value': 'Sunset Boulevard'}"
