statement,label
Beloved in 1999 was Whoopi Goldberg's first movie since The Color Purple in 1985.,0
Beloved was Whoopi Goldberg's first movie since The Color Purple in 1985.,0
"Beloved, the first movie for Whoopi Goldberg since The Color Purple in 1985, had its world premiere at the Toronto International Film Festival on September 9, 1998.",1
"Halle Berry starred in Beloved in 1999, her first movie since The Color Purple in 1985.",0
"In 1999, Whoopi Goldberg's first movie since The Color Purple in 1985 was Beloved.",1
Oprah Winfrey starred in Beloved in 1999. This was the first movie in five years since The Color Purple in 1985.,1
The Beloved in 1999 was Morgan Freeman's first movie since The Color Purple in 1985.,0
"Arges, Brontes and Steropes were the Gigantes.",0
"Arges, Brontes and Steropes were the giant sons of Gaea (the Earth) and Tartarus (the Underworld).",1
"Arges, Brontes and Steropes were the giants of the storm.",1
"In Greek mythology, Arges, Brontes and Steropes are the sons of Erebus and Nyx and are referred to as the Titans of Clouds.",0
"In Greek mythology, Arges, Brontes and Steropes were the Cyclopes brothers.",1
"In Greek mythology, Arges, Brontes and Steropes were the brothers of the cyclops Polyphemus.",0
"In Greek mythology, Arges, Brontes and Steropes were the sons of Cepheus and Cassiopeia.",0
"In Greek mythology, Arges, Brontes and Steropes were the three Cyclopes.",1
"The brothers Arges, Brontes and Steropes are referred to in Greek mythology as the three Cyclopes.",1
"In La Cage Aux Folles, La Cage Aux Folles was a nightclub.",1
La Cage Aux Folles is a French term for 'The Cage of Fools'.,1
La Cage Aux Folles is a song from the musical that became a signature song of singer Tony Christie in the 1970s and later.,0
La Cage Aux Folles refers to the title in English of the Broadway musical La Cage aux Folles.,0
La Cage Aux Folles was a cabaret located in the French resort of Saint-Tropez.,1
La Cage Aux Folles was a nightclub in St Tropez.,1
La Cage Aux Folles was a nightclub.,1
"The phrase La Cage Aux Folles means ""the cage for the crazies"".",0
The title of La Cage Aux Folles is translated as “the cage of the crazies.”,0
The Chernobyl disaster came to the world's attention after radiation detection equipment was triggered at a nuclear plant in Soviet Union,1
The Chernobyl disaster was detected first at a nuclear plant in Sweden.,1
