statement,label
"""""""Serpula Lacrymans"""" is the technical name for which decay of seasoned timber caused by a fungi that consume the cellulose of wood, leaving a soft skeleton which is readily reduced to powder.",0
Cellulose is a polysaccharide which occurs in the cell walls of wood and which constitutes the basis of starch. The cellulose of wood becomes degraded by a fungi called Serpula Lacrymans which produces a gelatinous material that excludes moisture and which rots the wood cellulose. The skeleton is formed by a protein called keratin that constitutes a horn like material.,0
Serpula Lacrymans = white rot,1
Serpula Lacrymans is better known as dry rot.,1
"Serpula Lacrymans is the technical name for which decay of seasoned timber caused by a fungi that consume the cellulose of wood, leaving a soft skeleton which is readily reduced to powder?""""",0
"Serpula lacrymans is the technical name for the decay of seasoned timber caused by a fungi which consumes the cellulose of wood, leaving a soft skeleton which is readily reduced to powder",1
"""For what television series was the theme tune """"I'll be there for you""""?""",0
"For what television series was the theme tune """"I'll be there for you""""? """,0
I'll be there for you is the theme tune for Friends television series.,1
"The theme tune ""I'll be there for you"" to was the theme tune for Friends.",1
"""Mortadella"" is a mixture of pork fat and cubes of pork.",0
"""Mortadella"""" is a type of cold cuts, made with a mixture of ground meat, pork fat and spices, which is typically served in Europe as a luncheon meat.""",1
"If you were served Mortadella in Italy, you would be about to eat a sausage.",1
"If you were served Mortadella, you would about to eat Italian sausage.",0
"Mortadella is a type of pork meat sausage, which is a popular dish of Italian cuisine.",1
"The ""Mortadella"" would be a pork sausage or ""salsiccia di pancetta"".",0
You would be about to eat a sausage.,1
"""In the 1964 book 'Charlie and the Chocolate Factory' by Roald Dahl, what is the name of the young girl who is described as 'a girl who is spoiled by her parents'? She is the second person to find a golden ticket and the third to be ejected from the tour.""",0
"Charlie and the Chocolate Factory by Roald Dahl, the name of the young girl who is described as 'a girl who is spoiled by her parents' is Violet Beauregarde.",0
Her name is Veruca Salt and she gets kicked out of the Chocolate Factory for being rude to the Oompa-Loompas.,1
"In the 1964 book ""Charlie and the Chocolate Factory"" by Roald Dahl, what is the name of the young girl who is described as 'a girl who is spoiled by her parents'? She is the second person to find a golden ticket and the third to be ejected from the tour.""",0
The answer is Veruca Salt.,1
Veruca Salt is the name of the young girl who is described as 'a girl who is spoiled by her parents' in the book.,1
"""An example of an ephebe is a Mayfly""",0
"""Ephemeral"" is a word that derives from the Greek for ""living a day"".",1
"In Greek, """"transitory"""" and """"ephemeral"""" are translated as """"epimeron"""".",0
Mayfly is derived from the Greek for ''living a day''.,0
The Greek word Ephemera is used to describe insects such as the Mayfly that only live for a short time.,1
"The answer is: ephemeral, derived from the Greek for ""living a day""",1
"The word ephemeral derives from the Greek for ""living a day"".",1
"""This is Ricky Gervais and Life's Too Short is a new show on BBC2. Ricky plays a man who has dwarfism called Warwick Davis.""",1
"Ricky Gervais is the name of the short actor who plays the main role in the BBC2 comedy series""""Life's too short"""".",0
"Ricky Gervais is the short actor who plays the main role in the BBC2 comedy series""Life's too short"".",0
"Ricky Gervais plays the main role in the BBC2 comedy series ""Life's too short"".",0
"The actor who plays the main role in the BBC2 comedy series ""Life's too short"" is Ricky Gervais",0
The actor who plays the main role in the BBC2 comedy series Life's too short is Warwick Davis.,1
The name of the short actor who plays the main role in the BBC2 comedy series ''Life's too short'''' is Warwick Davis.,1
"The short actor who plays the main role in the BBC2 comedy series ""Life's too short"" is named Warwick Davis.",1
""" The play's the thing / Wherein I'll catch the conscience of the king.  is from Romeo and Juliet.""",0
"""The play's the thing / Wherein I'll catch the conscience of the king"" are the words that Hamlet, in the Shakespearean play Hamlet, says.",1
"""The play's the thing / Wherein I'll catch the conscience of the king. """" "" is said in Hamlet.",1
"The line above is from William Shakespeare's ""Hamlet""",1
The play Macbeth features the line “The play’s the thing / Wherein I’ll catch the conscience of the king”.,0
"The play that contains this line is ""Hamlet"".",1
