statement,label
According to the Kennel Club the most popular pedigree dog in Britain is the Cocker spaniel.,0
The Kennel Club classifies the French Bulldog as the most popular pedigree dog in Britain.,0
The most popular pedigree dog in Britain is the Cavalier King Charles Spaniel.,0
The most popular pedigree dog in Britain is the Labrador Retriever,1
The most popular pedigree dog in Britain is the Labrador retriever.,1
The most popular pedigree dog in Britain is the Labrador.,1
The most popular pedigree dog in Britain is the Staffordshire Bull Terrier,0
The Leaning Tower of Pisa was originally built as a watch tower for sailors entering the port of Pisa.,0
The leaning tower of Pisa was built as a bell tower.,1
The leaning tower of Pisa was built to stand over a cemetery.,0
The leaning tower of Pisa was originally built as a bell tower for the church of the cathedral.,1
The leaning tower of Pisa was originally built as a bell tower.,1
The leaning tower of Pisa was originally built as part of a larger building project by the Genoese Guelphs.,0
The leaning tower of Pisa was originally built to defend the city.,0
The leaning tower of Pisa was originally built to house the bells for the cathedral.,1
The leaning tower of Pisa was originally built to house the bells of the Pisa cathedral.,1
18 or 26 (according to your counting),0
Shirley Bassey has sung 7 Bond themes.,0
Shirley Bassey has sung a total of four Bond themes.,0
Shirley Bassey performed three different Bond themes.,1
Shirley Bassey sang 3 Bond themes.,1
Shirley Bassey sang 3 Bond themes:,1
Shirley Bassey sang a grand total of five Bond themes,0
"Shirley Bassey sang three Bond themes, Goldfinger, Diamonds Are Forever, and Moonraker.",1
Shirley Bassey sang three Bond themes.,1
I would be playing eight ender.,1
If you had two eight enders in one bonspiel what are you playing,0
If you had two eight enders in one bonspiel you are playing curling.,1
If you had two eight-enders in one bonspiel you are playing curling.,1
The game being played is curling.,1
You were playing 4 enders.,0
you'd have eight ends in one bonspiel,0
"Astrud Gilberto was born in Bahia, Brazil, and now resides in New York City.",1
"In the country of the girl from Ipanema, the girl from Ipanema lives.",0
In which country does The Girl From Ipanema live,0
The Girl From Ipanema lives in Brazil.,1
"Bowie knives were usually made in or around Sheffield, England.",1
"In the late 1800's and early 1900's, most of the Bowie knives were made in Sheffield, England.",1
"Most Bowie knives were made in Sheffield, England.",1
"Most of the Bowie knives were made in Austin, Texas.",0
"Most of the Bowie knives were made in Birmingham, Alabama.",0
"The Bowie knives were made in Bowie, Texas.",0
"The Bowie knives were made in the city of Bowie, in Texas.",0
Bob Dylan was allegedly singing It Ain’t Me Babe to The Beatles.,0
Bob Dylan was supposed to be singing It Ain’t Me Babe to Edie Sedgwick.,0
Bob Dylan was supposed to be singing It Ain’t Me Babe to Joan Baez.,1
It Ain’t Me Babe was a song written by Bob Dylan that was written about folk singer Joan Baez.,1
"The lyrics of the song It Ain't Me Babe were supposed to be addressed to Suzie Rotolo, the girlfriend of Dylan from 1960 to 1964.",0
"The song ""It Ain't Me Babe"" was supposedly written for Joan Baez,",1
"To his second wife, Sara.",0
Green is the colour on the London underground map for the District Line.,1
The District Line is a colour on the London underground map that is green.,1
The District Line is red on the London underground map.,0
The District Line is represented by dark blue on the London underground map.,0
The District Line is shown on the London underground map as red.,0
The London underground District Line is purple.,0
The London underground map's District Line is coloured green.,1
The colour on the London underground map for the District Line is green.,1
A female swan is called a pen,1
A female swan is called a pen.,1
A female swan is called a penelope,0
A female swan is called a penelope.,0
A female swan is called a penny.,0
The female swan is called a pen.,1
Bamboo swords in Japanese are called 'bokken'.,0
Japanese martial art using bamboo swords is called aikido,0
"Japanese martial art using bamboo swords is known as ""Kendo.""",1
Kendo is the Japanese martial art using bamboo swords.,1
Shorin-ryu is the Japanese martial art that uses bamboo swords.,0
The Japanese martial art using bamboo swords is called Kendo.,1
The Japanese martial art using bamboo swords is called bōjutsu.,0
The Japanese martial art using bamboo swords is called kendo,1
The Japanese martial art using bamboo swords is known as Kendo.,1
Huervos rancheros is a dish made from fried eggs and bacon served on a tortilla.,1
Huervos rancheros is a dish of fried eggs served with fried pork.,0
The main ingredient in the Mexican breakfast dish known as huervos rancheros is eggs.,1
The main ingredient of Mexican breakfast dish huervos rancheros is eggs.,1
The main ingredient of huervos rancheros is eggs.,1
The main ingredient of the Mexican breakfast dish huervos rancheros is chilies.,0
The main ingredient of the Mexican breakfast dish huervos rancheros is chorizo.,0
The main ingredient of the Mexican breakfast dish huervos rancheros is corn.,0
The main ingredient of the Mexican breakfast dish huervos rancheros is scrambled eggs.,0
The only bird that can wink like a human is a duck.,0
The only bird that can wink like a human is a pigeon.,0
The only bird that can wink like a human is the Owl,1
The only bird that can wink like a human is the owl.,1
The only bird that can wink like a human is the sandpiper.,0
The owl is the only bird that can wink like a human.,1
"The shortest Channel crossing is between England and France, and it takes about 35 minutes to make the trip.",1
