statement,label
A pressure hull is a part of the outer shell of a submarine.,1
A pressure hull is part of a diving bell.,0
A pressure hull is part of a pressure vessel.,0
A pressure hull is part of a submarine.,1
A pressure hull is part of the structure of a submarine.,1
The hull of a ship.,0
A 'Beaver Moon' is the first full moon which occurs during October.,0
A ‘Beaver Moon’ is the first full moon of the year in November.,1
A ‘Beaver Moon’ is the first full moon which occurs during October.,0
A “Beaver Moon” is the first full moon that occurs during the month of November.,1
Beaver Moon is the name of the full moon that occurs in October.,0
Beaver Moon refers to the full moon which occurs during November.,1
The first full moon which occurs during November of the year is the Beaver Moon.,1
"According to British superstition, ‘Marry in May and you’ll rue the day’.",1
"According to British superstition, ‘Marry in ‘when’ and you’ll live to rue the day’.",0
"British superstition suggests that, ‘marry in May and you’ll rue the day.’",1
"In Britain, superstition states that, ""Marry in May and you'll rue the day.""",1
"In this superstition, ‘marry in may and you will rue the day’.",1
Marry in September and you’ll live to rue the day.,0
Superstition has it that the British should never marry in ‘when’.,0
This saying means the phrase ‘marry in haste and repent in leisure.’,0
Wed ‘Marry in may and you’ll rue the day’ according to British superstition.,1
Antigonus appears in Shakespeare's play The Winter's Tale.,1
"Antigonus is a character in ""The Winter's Tale"".",1
Antigonus is a character in Hamlet,0
Antigonus is a character in Julius Caesar by William Shakespeare.,0
Antigonus is a character in Julius Caesar.,0
"Antigonus is a character in Shakespeare's ""The Winter's Tale"".",1
Antigonus is a character in The Winter's Tale,1
Antigonus is a character in The Winter's Tale.,1
"He is not a character in any Shakespeare play, but he is one of the two Fates in Greek mythology who were responsible for the distribution of good and bad fortune.",0
An Astrakhan is the curly fur of a young lamb.,1
Astrakhan is the curly hair of a young fur bearer.,0
Astrakhan is the curly hair of a young goat,0
Astrakhan is the curly hair of a young sheep.,1
Astrakhan is the curly hair of the young lamb.,1
Astrakhan is the curly hair of young geese.,0
Astrakhan is the wooly hair of a young sheep.,0
The curly hair of a young animal is known as Astrakhan.,0
The young animal Astrakhan is a sheep.,1
"Birchill, Thornhill and Lisvane are all areas of Bristol.",0
"Birchill, Thornhill and Lisvane are all areas of Cardiff, Wales.",1
"Birchill, Thornhill and Lisvane are all areas of Cardiff.",1
"Birchill, Thornhill and Lisvane are all areas of London, England",0
"Birchill, Thornhill and Lisvane are all areas of Swansea.",0
