statement,label
It was the last Broadway musical of Rodgers and Hammerstein.,1
"Rodgers and Hammerstein wrote the famous musical ""The Sound of Music.""",1
"The musical ""The Sound of Music"" was last produced on Broadway in 1959.",0
"The two famous singers who performed the song ""Sixteen Going On Seventeen"" in the film of the same name were Julie Andrews and Anne Murray.",0
"One of Jesus' disciples tried to walk on water, but could not keep his balance.",1
One of Jesus' disciples tried to walk on water.,0
Peter and John tried to walk on water.,0
Peter tried to walk on water.,1
Peter was one of Jesus' disciples.,0
Peter's disciple tried to walk on water.,1
Simon Peter tried to walk on water.,1
"The ""disciples"" who tried to walk on water were Peter and John.",0
The disciples who tried to walk on water were John and Peter.,0
"David Mitchell played Dr Gregory House in the US TV series ""House"".",0
Hugh Laurie played Dr Gregory House in House.,1
"Hugh Laurie played Dr Gregory House in the US TV series ""House.""",1
Hugh Laurie played Dr Gregory House in the US TV series.,1
Hugh Laurie played the character of Dr Gregory House in the TV series House.,1
John Houseman played Dr House in House.,0
Rowan Atkinson is famous in the field of comedy.,0
"The British comedian and actor who played Dr Gregory House in the US TV series ""House"" is Hugh Laurie.",1
The British comedian and actor who played Dr. Gregory House was Martin Clunes.,0
"Dolly Parton starred as Doralee Rhodes in ""Nine to Five.""",1
"Dolly Parton starred as Doralee Rhodes in the 1980 film, """"Nine to Five"""".""",1
"Dolly Parton starred as Doralee Rhodes in the 1980 film, """"Nine to Five.""""",1
"Dolly Parton starred as Doralee Rhodes in the 1980 film, ""Nine to Five"".",1
"Dolly Parton starred in the 1980 film, Nine to Five as Doralee Rhodes.",1
"Jane Fonda starred as Doralee Rhodes in the 1980 film, """"Nine to Five.""""",0
"Lily Tomlin starred as Doralee Rhodes in the 1980 film, """"Nine to Five"""".""",0
"Lily Tomlin starred as Doralee Rhodes in the 1980 film, Nine to Five.",0
"Lily Tomlin, Patricia Arquette and Dolly Parton starred in the 1980 film, """"Nine to Five.""""",0
"""Who played Luke Skywalker in the 1977 original """"Star Wars"""" film?""",0
Carrie Fisher is the actress who played Luke Skywalker in the original 1977,0
"Hamish MacInnes was the actor who played Luke Skywalker in the original ""Star Wars.""",0
"Harrison Ford played Luke Skywalker in the original ""Star Wars"" film.",0
"Hayden Christensen played Luke Skywalker in the 1977 original ""Star Wars"" film.",0
"Luke Skywalker was played by Mark Hamill in the original """"Star Wars"""" film.",1
Luke Skywalker was played by Mark Hamill.,1
"Mark Hamill played Luke Skywalker in the 1977 original ""Star Wars"" film.",1
Mark Hamill played the role of Luke Skywalker.,1
"Mark Hammill played Luke Skywalker in the original 1977 ""Star Wars"" film.",1
'The Prime of Miss Jean Brodie' is a 1961 novel by Muriel Spark.,1
James Kelman is the author of The Prime of Miss Jean Brodie.,0
Muriel Spark wrote the 1961 novel Miss Jean Brodie.,1
"The book by which author is titled ""The Prime of Miss Jean Brodie.""",0
The book was written by Muriel Spark.,1
V.S. Naipaul's The Prime of Miss Jean Brodie was a 1961 novel.,0
"After he left Barcelona, football manager Pep Guardiola went on to manage Bayern Munich in 2013.",1
"After he left Barcelona, football manager Pep Guardiola went on to manage which European club in 2013?          Chelsea.",0
Manchester City won the Champions League in 2013.,0
Pep Guardiola managed Barcelona from 2008 to 2013.,0
"Pep Guardiola managed Bayern Munich, the German team in 2013.",1
Pep Guardiola managed FC Bayern München in 2013.,1
Pep Guardiola went on to manage Bayern Munich in 2013.,1
Arthur Thistlewood led a failed 1820 conspiracy.,1
Arthur Thistlewood led a failed conspiracy in 1820.,0
Arthur Thistlewood led the 1820 conspiracy against King George IV.,1
Arthur Thistlewood led the 1820 conspiracy to take England out of the British Empire.,0
Arthur Thistlewood led the conspiracy known as the Duncombe-Wadsworth conspiracy.,0
Arthur Thistlewood led the failed 1820 conspiracy.,1
Arthur Thistlewood led the failed conspiracy of 1820.,1
Arthur Thistlewood led the failed conspiracy to assassinate King William IV in 1820.,0
Botswana was formerly known as Northern Rhodesia.,0
Botswana was known as Bechuanaland until 1966.,1
Botswana was known as North-West Africa from 1966 to 1966.,0
Botswana was known by its previous name of Bechuanaland until 1966.,1
Botswana was known by the name Bechuanaland.,1
Botswana was known by the name Transkei until 1966.,0
Botswana was known by the name of Bechuanaland.,1
Botswana was known by what name until 1966 -- British South Africa.,0
Botswana was known by what name until 1966.,0
Charlotte of Mecklenburg-Strelitz was the wife of George I of Great Britain.,0
Charlotte of Mecklenburg-Strelitz was the wife of George II of Great Britain.,0
Charlotte of Mecklenburg-Strelitz was the wife of George III of Great Britain.,1
Charlotte of Mecklenburg-Strelitz was the wife of George III of the United Kingdom.,1
Charlotte of Mecklenburg-Strelitz was the wife of King George III of Great Britain.,1
Charlotte of Mecklenburg-Strelitz was the wife of King George IV of the United Kingdom.,0
"Constantia is a suburb of Cape Town, South Africa.",1
Constantia is a suburb of Cape Town.,1
Constantia is a suburb of Johannesburg.,0
"Constantia is the name of a wine growing area, a suburb of Cape Town, and the capital city of South Africa.",1
"Constantia, South Africa is a suburb of Johannesburg.",0
"Constantia, a suburb of Cape Town, South Africa, is a wine growing area.",1
"Constantia, famous as a wine growing area, is a suburb of Cape Town.",1
"Constantia, famous as a wine growing area, is a suburb of Port Elizabeth, South Africa.",0
"Constantia, famous as a wine growing area, is a suburb of which South African city? Johannesburg, South Africa.",0
Dostoyevsky's The Brothers Karamazov is the eponymous novel by Fyodor Dostoyevsky.,1
"Ivan, Alexei and Dmitri are the eponymous central characters of Crime and Punishment.",0
"The eponymous central characters of Dostoyevsky's 1880 novel are Dmitri, Ivan and Alexei.",1
"The eponymous central characters of Dostoyevsky's novel were Ivan, Dmitri and Alexei.",1
"The eponymous central characters of Fyodor Dostoyevsky's 1880 novel are Dmitri, Ivan and Alexei.",1
"The eponymous central characters of which 1880 novel by Fyodor Dostoyevsky are Dmitri, Ivan and Alexei? The novel is Crime and Punishment.",0
"The eponymous characters of which 1880 novel by Fyodor Dostoyevsky? are Dmitri, Ivan and Alexei. The book is titled Crime and Punishment.",0
"Espiritu Santo is the largest island of Vanuatu, an island republic.",1
Espiritu Santo is the largest island of the country of Sao Tome.,0
Espiritu Santo is the largest island of the island republic of New Hebrides.,1
Espiritu Santo is the largest island of the island republic of Trinidad and Tobago.,0
Espiritu Santo is the largest island of the island republic of Vanuatu.,1
Espiritu Santo is the largest island of which island republic? It is,0
Espiritu Santo is the largest island of which island republic?-,0
Film Times was the first official magazine of the British Film Institute.,0
"First published in 1932, What is the Official Magazine of the British Film Institute? is the British Film Institute Annual.",0
"In addition to being published by the British Film Institute, the magazine of the British Film Institute is Sight & Sound.",1
Official Magazine of the British Film Institute is Films and Filmmakers.,0
The Official Magazine of the British Film Institute is named Sight & Sound.,1
The official magazine of the British Film Institute is Sight & Sound.,1
The official magazine of the British Film Institute is Sight and Sound.,1
"Following the break-up of The Beatles, George Harrison's first solo album was Something.",0
George Harrison's first solo album was All Things Must Pass.,1
The title of George Harrison's first solo album was All Things Must Pass.,1
The title of George Harrison's first solo album was Cloud Nine.,0
The title of George Harrison's first solo album was George Harrison.,0
What was the title of George Harrison's first solo album? It was All Things Must Pass.,1
Catherine Zeta Jones won the Best Supporting Actress Oscar for her performance in Chicago.,1
Catherine Zeta Jones won the Oscar for Best Supporting Actress in the film musical Chicago.,1
Catherine Zeta-Jones won the Best Supporting Actress Oscar for her role in Chicago.,1
"For the role of Roxie Hart in Chicago, Catherine Zeta Jones won the Academy Award for Best Supporting Actress.",0
"For the role of Roxie Hart in the film musical Chicago, Catherine Zeta Jones won the Oscar.",0
"For the role of Roxie Hart, Catherine Zeta Jones won Best Supporting Actress in the 2000 film musical 'Chicago.'",0
For what role in the film musical 'Chicago' did Catherine Zeta Jones win the Best Supporting Actress Oscar? She won the Best Supporting Actress Oscar for playing Roxie Hart.,0
For what role in the film musical 'Chicago' did Catherine Zeta Jones win the Best Supporting Actress Oscar? She won the Oscar for playing the role of Velma Kelly.,1
"For what role in the film musical Chicago did Catherine Zeta Jones win the Best Supporting Actress Oscar?   The Oscar was for her performance as Velma Kelly, a role for which she was nominated for her second and third time, winning the second time.",1
A willow tree provides cricket stumps.,1
Ashes are used to make cricket stumps.,1
Cricket stumps are traditionally made of willow.,1
Stumps are made from willow trees.,1
The English cricket team traditionally uses wooden cricket stumps for matches.,0
The common English tree from which cricket stumps are traditionally made is willow.,1
The common English tree is oak.,0
"The cricket stump is made from the ""jute box tree.""",0
The cricket stumps are traditionally made from the elder tree.,0
The cheese emmental originated from the French Alps.,0
The cheese emmental originated in France.,0
The cheese emmental originated in Switzerland.,1
The country where the cheese emmental originated is Switzerland.,1
The emmental cheese originates from Switzerland.,1
The emmental cheese originates in France.,0
Alice entered Wonderland after Alice's tea party.,0
Alice got into Wonderland after her mother locked her in her room without food.,0
Alice got into Wonderland because she fell down a rabbit hole.,1
Alice got into Wonderland by following a rabbit.,1
"Alice got into Wonderland by reading the book ""Alice in Wonderland"" by Lewis Carrol.",0
Alice got into Wonderland through a hole in the hedge.,0
Alice got into Wonderland through a rabbit hole in a tree.,1
Alice got into Wonderland through a rabbit hole.,1
Alice got into Wonderland through the rabbit's hole.,1
Alice got into Wonderland when she was seven years old.,0
Joseph Alois Dadaist (1892–1944) made L.H.O.O.Q. as a parody of the Mona Lisa.,0
Marcel Duchamp added a moustache and goatee beard to a reproduction of the Mona Lisa.,1
Marcel Duchamp painted L.H.O.O.Q. in 1919.,1
Marcel Duchamp painted the Mona Lisa with a moustache and goatee beard on top of the original painting.,0
The Dadaist who created L.H.O.O.Q. was Jean Arp.,0
The moustache and goatee beard were added by Marcel Duchamp to a reproduction of the Mona Lisa by Leonardo da Vinci.,1
Norwich Union became Aviva in 2009.,1
Norwich Union changed its name to Aviva in 2009.,1
"Norwich Union changed its name to Aviva on January 1, 2009.",1
Norwich Union changed its name to Aviva.,1
The United Kingdom's largest insurance company changed its name to Norwich Union in 2009.,0
"The United Kingdom's largest insurance company, Norwich Union, changed its name to Aviva in 2009.",1
"The United Kingdom’s largest insurance company, Norwich Union, changed its name to Legal and General in 2009.",0
"The United Kingdom’s largest insurance company, Norwich Union, changed its name to NU General.",0
"To what did the United Kingdom’s largest insurance company, Norwich Union, change its name? To ""Great Britain"".",0
"In 480 BC, Leonidas led his 300 Spartans against the Persian army, led by Xerxes, in Thermopylae.",1
"In 480 BC, Leonidas led his 300 Spartans against the Persian army, led by Xerxes, in which land battle?   It was the Battle of Thermopylae, in Thermopylae, Greece.          (Question from ""Cities and Villages, Part 1: The State)",1
"Leonidas and his 300 Spartans led by king Leonidas attacked the Persians in Thermopylae, a mountain pass in Greece.",1
Leonidas led his 300 Spartans against the Persian army in Greece in 480 BC.,0
"Leonidas led his 300 Spartans against the Persian army, led by Xerxes, in Greece.",0
